Model,Accuracy,Precision,Recall,F1,ROC_AUC,Train_Time_sec,Test_Time_sec,Interpretability
GradientBoosting,0.7613255033557047,0.752098589033756,0.7429428369795342,0.747492677731428,0.8496695877361587,see gbm_train.py output,0.11,"Medium (feature importance, PDPs)"
GradientBoosting,0.7613255033557047,0.752098589033756,0.7429428369795342,0.747492677731428,0.8496695877361587,21.54,0.11,"Medium (feature importance, PDPs)"
XGBoost,0.7578020134228188,0.7474639615589963,0.7410021171489062,0.7442190130238328,0.8464309910595723,1.729,0.095,Medium (feature importance plots available)
LightGBM,0.7583892617449665,0.7470755051400213,0.7436485532815809,0.7453580901856764,0.8471966458383281,2.244,0.573,Medium (feature importance plots available)
Logistic Regression,0.7475671140939597,0.7376228775692583,0.7281227946365562,0.7328420491876054,0.8335759092023508,0.781,0.013,High (coefficients explain influence)
Decision Tree,0.7155201342281879,0.7130825379000562,0.6721947776993649,0.6920352374897829,0.7989737003283861,0.178,0.016,"High (tree visualization, rules)"
RandomForest,0.7494127516778524,0.7383958740885648,0.7325335215243473,0.7354530156762022,0.8373329849903217,15.442,2.033,"Medium (feature importances, decision paths possible)"
KNN,0.6592281879194631,0.6366110922082341,0.660197600564573,0.6481898492984584,0.7069111208337115,0.283,10.286,"Low (distance-based, not feature importance)"
MLPClassifier,0.7434563758389262,0.729027729027729,0.7328863796753705,0.7309519619919057,0.8302073611673622,86.212,0.051,"Low (black-box, no direct feature importance)"
SVM,0.7468959731543624,0.7355606895326107,0.7302399435426958,0.7328906595838867,0.8332734795154895,385.985,32.381,High (linear model with feature coefficients)
RandomForest,0.7494127516778524,0.7383958740885648,0.7325335215243473,0.7354530156762022,0.8373329849903217,15.442,2.014,"Medium (feature importances, decision paths possible)"
